id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
2704,2423,Transcodium,TNS,transcodium,1,2018-05-04T17:44:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xb0280743b44bf7db4b6be482b2ba7b75e5da096c'}"
2705,2254,Amon,AMN,amon,1,2018-05-03T17:49:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x737f98ac8ca59f2c68ad658e3c3d8c8963e40a4c'}"
2707,1618,FLIP,FLP,flip,1,2018-05-04T17:44:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3'}"
2709,1017,Morpheus Labs,MITX,morpheus-labs,1,2018-05-04T20:09:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6'}"
2711,1062,DOC.COM,MTC,doc-com,1,2018-05-08T00:09:24.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x905E337c6c8645263D3521205Aa37bf4d034e745'}"
2712,3558,MyToken,MT,mytoken,1,2018-05-08T00:09:24.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9b4e2b4b13d125238aa0480dd42b4f6fc71b37cc'}"
2717,2461,BoutsPro,BOUTS,boutspro,1,2018-05-10T15:54:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x139d9397274bb9e2c29a9aa8aa0b5874d30d62e3'}"
2724,7903,Zippie,ZIPT,zippie,1,2018-05-15T16:39:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xedd7c94fd7b4971b916d15067bc454b9e1bad980'}"
2725,1865,Skrumble Network,SKM,skrumble-network,1,2018-05-10T19:19:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x048fe49be32adfc9ed68c37d32b5ec9df17b3603'}"
2726,1777,DAOstack,GEN,daostack,1,2018-05-10T19:19:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x543ff227f64aa17ea132bf9886cab5db55dcaddf'}"
